mp_id,formula,heat_capacity
mp-13948,Cs2HfF6,201.27157116991503
mp-27292,Hg3As2F12,688.6770810015364
mp-16455,BaNd2ZnS5,422.4816963501828
mp-32850,Tm2Se3,968.1254926015732
mp-569149,K2TeCl6,199.76486801942275
mp-28348,Ba2As2Se5,869.8524534730888
mp-23408,Tl4Bi2S5,1063.813961418829
mp-568121,Mn4Si7,904.6803618934866
mp-13660,Ca4Sb2O,163.03476242728786
mp-569349,Rb2HgPSe5,1711.345102951254
mp-571607,CdI2,859.096874857556
mp-866651,KSiBiS4,629.153002405749
mp-14659,KAsSe2,384.9740580321654
mp-555507,Sr10Al2ClF25,1672.341344474759
mp-680205,PbI2,1113.7537161445002
mp-662599,Ag3AsSe3,2030.245424484884
mp-553875,Zr2SN2,98.95450782206522
mp-1143,Al2O3,163.98980479397414
mp-4052,Rb2Mn3Se4,419.6901851083583
mp-560129,Na3La2(BO3)3,298.46448956813634
mp-39,Tl,0.859989207551812
mp-567318,TlSbSe2,391.4248848501741
mp-772187,AlGaO3,715.1179367910788
mp-605642,KB3(HO3)2,2532.300021157956
mp-23092,Ba2TaBiO6,216.24238111691173
mp-15983,Ba2NaNb5O15,899.3365053394408
mp-557006,Na2SbSO4F3,834.0415476359303
mp-23582,KLi6BiO6,266.2812749554037
mp-776074,CaGeO3,585.9277086365064
mp-541451,Ga2(SO4)3,550.7011684202294
mp-756281,TmAlO3,370.6197897956204
mp-542737,TiZn2O4,561.8111243087932
mp-753809,BaCaI4,294.8390847421625
mp-559291,Sn2PCO6,632.5546879970926
mp-703275,NaSr3NdTi5O15,988.9291566664608
mp-8195,Ba2GeAs2,484.518774112162
mp-863423,SrGa12O19,1193.2471197180068
mp-643023,Mg2H4Ru,198.7830978104054
mp-560591,NaTi2Al5O12,702.1105390647117
mp-23660,KNa22C2S9ClO42,2770.12222939916
mp-15222,Rb2NbCuSe4,383.3017699760219
mp-28532,CrInBr3,481.25066047087904
mp-15844,TaPO5,234.22393316342055
mp-541911,HfNCl,122.17170837141656
mp-28800,K2Bi8Se13,560.6785151860647
mp-23569,AsSe6IF6,599.0896319365323
mp-573635,Ba2In2Se5,1745.5488095619744
mp-14620,Tm2CdSe4,338.7271834712108
mp-7949,Rb2GeF6,193.7827999522729
mp-29223,Ba3Si5O13,1388.4552818086938
mp-29314,RbVBr3,672.2138112085719
mp-11054,RbSn,788.5611271969818
mp-34477,LiSmS2,187.8366276673757
mp-37741,Ba(LaSe2)2,340.76383664229536
mp-558243,Ba2InClO3,314.93593795920583
mp-505001,Rb3ZnBr5,883.3590302033922
mp-557301,K2Ti(Si2O5)3,783.1292808508769
mp-1943,GaSe,189.14544080446592
mp-861503,Pr3Sb4Au3,488.8149907025632
mp-15649,As2Ir,277.34197045940994
mp-556039,Na3Y(BO3)2,861.2839139675671
mp-16872,RbLi2Ga2(BO3)3,554.6799483553973
mp-643579,SbH3OF6,700.9847941478484
mp-7773,Na2AsAu,193.32292324368223
mp-29920,Rb5Au3O2,477.57225715466063
mp-769138,Dy2Sb2O7,1232.6941040327995
mp-559642,CaZrAl9BO18,1001.2435946453792
mp-776890,Rb2O,580.8417619558049
mp-754202,CsClO3,192.66392035880904
mp-643371,K2Sn(H2N)6,285.3689748201384
mp-568228,RbLaSi(CN2)4,237.27294871917417
mp-6812,KBaPO4,525.2598290527942
mp-28727,La4Bi2S9,1417.248486058541
mp-1285,PtO2,108.35570376158456
mp-23363,NaAlCl4,536.191694198768
mp-555203,Sr5B3ClO9,660.8645490677413
mp-21489,Rb2PbO3,269.2711122266509
mp-5273,KPrTe2,98.11343704767442
mp-733877,CaB3H13O12,1336.8949491474136
mp-15740,SrZn2(AsO4)2,997.5389931619346
mp-3637,YOF,125.85378353430082
mp-9765,Nd2Pt2O7,429.8797710815465
mp-4995,LiSbO3,374.3287502078054
mp-647557,ZrPbO3,830.9068134847624
mp-4824,NaZnP,140.85504508444072
mp-30034,MgBr2,71.50666850218148
mp-696804,RbHS,125.6443760600622
mp-505814,CsBa2Nb3O10,327.504347608105
mp-628768,In4SnSe4,1737.233642448986
mp-3654,RbCaF3,112.40421184260047
mp-28448,DyCl3,188.75588260894617
mp-669334,CdI2,1111.7600745308391
mp-27484,Tl2O,138.32887138518538
mp-23029,Cs3Sb2I9,683.8849024148085
mp-755084,Na6MgO4,478.3938758558151
mp-15951,BeF2,153.43882418856612
mp-779608,Ba3(BO3)2,400.1550565017414
mp-16834,Zn3(AsO4)2,499.3355713422147
mp-572596,TlIn3S5,421.7394231284719
mp-29331,KH3F4,253.98139294681528
mp-759759,NaGa3P2(HO3)4,1342.307351076767
mp-697022,Ca6Si2H6O13,933.654323735255
mp-12295,Sr3La2(BO3)4,1445.2768021273305
mp-557632,K2LiBO3,255.71293801890317
mp-15733,CaTaAlO5,295.2203664905672
mp-29383,KGaSb2,1553.2725719072246
mp-8203,Zr(PS3)2,382.6897362624307
mp-638261,La2GeO5,650.3370986551666
mp-989580,Cs2KNF6,204.8689159870517
mp-756135,Tb3NbO7,423.83701074201673
mp-992141,Cs2IBrCl6,200.01045747189772
mp-555621,RbAl3(P3O10)2,945.9503616069044
mp-28315,Rb4CdBr6,542.8195977548675
mp-21562,Sm3InSe6,967.7993944963808
mp-3397,Ba2TiO4,581.6176507357457
mp-560847,Nb2TlPS10,606.0731815934548
mp-680144,CdI2,1408.2410509647978
mp-23632,Ca2BN2Cl,464.1666761420139
mp-9272,TlPt2S3,273.1336726976708
mp-42190,K2NaTiOF5,217.41027568382108
mp-7943,LiAs,367.8953954322413
mp-34291,Zr3InF15,802.2055662640568
mp-24473,BePH4NO4,534.1702779863667
mp-571260,AlInI4,561.1580600558914
mp-5836,ThSiO4,215.1280361099819
mp-554503,ZnS,1283.5378529240793
mp-6613,Ba2YTaO6,210.84401855219912
mp-7560,LuBO3,165.33715636101437
mp-554206,Cs2Al2As2O7,249.32234405201453
mp-779519,Ba4Hf3O10,723.9541247487223
mp-9273,K3Sb2Au3,196.21208110194144
mp-27247,Na3NbO4,656.2099613694019
mp-571015,CuP4Se4I,906.4527009447096
mp-707876,Ca3Be2P4(HO2)10,1075.2539489705462
mp-8974,Ba3Dy4O9,337.4356287122657
mp-27400,RbCdBr3,491.6607460311041
mp-37829,La5TlSe8,340.83979581749674
mp-7249,Ba3Nb2ZnO9,314.0477382052769
mp-7929,Rb2PtS2,117.9695846665407
mp-754736,BaSr3I8,295.3210546330549
mp-29313,Ta4P4S29,3191.3709730269784
mp-14374,Na3Rh(NO2)6,373.8747513651114
mp-8411,Na2AgAs,193.0584933417456
mp-561499,Dy3CuSnS7,553.4719180719351
mp-27385,KTlCl4,288.68233053520964
mp-15988,Li2CuSb,90.76504394083926
mp-14069,CsAlO2,155.53981784161834
mp-988,Si3N4,188.4350474918585
mp-28695,KSiH3,290.5133209172981
mp-560853,Tb3Si2S8I,620.7354356788559
mp-12271,MgSeO3,386.64100906604943
mp-554146,K14In4O13,1386.397729945052
mp-31107,As2Pb8O13,953.3917596875928
mp-27138,K2PdBr4,170.28228395478556
mp-29048,Sr(BiO2)2,298.7659258579312
mp-8590,K2HfF6,365.3763340841021
mp-554641,Sr3Mg(SiO4)2,524.0959841742581
mp-13287,BaCuTeF,189.5822532521612
mp-754409,HoBO3,167.02829520309362
mp-559037,Rb3Nb6SBr17,1280.225351488281
mp-7906,Al2HgS4,152.62719678406762
mp-680339,Mn4Si7,904.8026246164984
mp-29761,UCO5,117.0928178589579
mp-28608,Ga3Te3I,674.5249333453269
mp-4959,Ca(GaO2)2,555.9228550191542
mp-14339,K2Pd3Se4,432.3571899005871
mp-540619,K3SnTe3,686.5873428701237
mp-768960,Li5BO4,1333.1374429200694
mp-27544,Cs3Bi2Br9,333.3470127150486
mp-2908,Al2ZnO4,245.27907893789623
mp-9071,Na8TiAs4,619.5247576173646
mp-4790,ThGeO4,234.97480215471336
mp-10520,LiNdTiO4,271.74781125323096
mp-554382,K2CdP2O7,434.0141793148724
mp-14092,AlAgTe2,189.6260011181242
mp-770806,Sm2TiO5,636.3782368204937
mp-28517,Tl6SeI4,545.6250555563022
mp-779729,Na2Ti2O5,702.6358321059198
mp-568656,SiC,276.3145214518865
mp-19992,La6UO12,405.8131439013752
mp-11583,Zr2SN2,197.1147728316054
mp-14591,LiSbS2,556.5732288531738
mp-4681,NaNbO3,389.7763047271919
mp-699390,Pr4Si4N7ClO3,1344.5891298150934
mp-6578,Ba3B(PO4)3,1222.5049573782348
mp-27747,PdI2,291.4603965128942
mp-9705,Ba4Na(BN2)3,269.4721920124936
mp-989575,Cs2AlTlH6,153.04516807667918
mp-779156,CdSeO4,462.0944719793767
mp-555743,LiZnPO4,1911.1906123062424
mp-33363,LiYS2,185.5222112653171
mp-558941,LiYSiO4,494.1489501015746
mp-23145,Na4Al3Si3ClO12,806.6141651526358
mp-23495,K2ZnBr4,332.2644197189726
mp-3404,RbSO3,531.0092490897862
mp-984550,CsGaH4,175.28662855974306
mp-559908,LiTa3O8,1734.774651530126
mp-905,LaF3,539.4877556091838
mp-560798,Ba3Dy2(PS4)4,2191.350311913402
mp-17418,SmSnF7,772.1692645497252
mp-559759,CaAlBO4,455.1251776344907
mp-14333,TaAlO4,215.052940832286
mp-5401,Sr2B2O5,607.9422946710638
mp-6064,Sr3MgPtO6,458.0399559566096
mp-18101,K2Cd3S4,854.9903318988981
mp-642831,RbP(HO2)2,211.70836185888552
mp-696275,SnH8(NCl3)2,205.0002820001853
mp-6825,Ho2Si4CN6,826.0303631971769
mp-569238,Cs3LiI4,391.0864900676104
mp-542013,Rb4Zr3Se14,1009.0439616124204
mp-781555,CaMgB6H12O17,882.2807476438727
mp-27293,Tl4HgBr6,533.7492350449412
mp-24007,Rb2HBrO,215.13304716326644
mp-2234,Er2S3,694.4926632653567
mp-9295,TaCu3Te4,192.6033942024328
mp-556583,CsSb2F7,412.6646804031961
mp-769268,Sr4Ta2O9,613.3468767534828
mp-686004,Li3ScCl6,890.6820822469463
mp-28421,Cs2HgI4,336.7585107039215
mp-562854,CsNb2BiO7,445.22056263774925
mp-552454,SrTaNO2,194.75527109433057
mp-28683,Ta(ICl)2,237.6665609770709
mp-35205,LiErSe2,192.1497922586628
mp-561286,ZnS,916.9090192919743
mp-571193,MnP4,803.9566559124936
mp-571124,Cs2KScCl6,224.2848529157316
mp-554053,SrGaBO4,971.1213723237906
mp-6788,La3Ga5SnO14,448.4729573084736
mp-755322,BaNa6O4,494.91823933014433
mp-7999,Y2Si2O7,384.6040926050904
mp-651358,Ba2ErCl7,955.6395676454624
mp-989570,Cs2CaSnCl6,230.90334678829595
mp-28955,Mg3BN3,242.24049459137296
mp-6211,RbLiSO4,486.2556012538832
mp-753731,Ba2CaI6,441.3239337012621
mp-568348,P,1749.43883363972
mp-3336,LaGaO3,206.7519705934768
mp-938,GeTe,48.7783879990603
mp-571222,CsBr,49.58709039042721
mp-561511,FeAsS,257.08937092528123
mp-23446,GeBi2O5,325.7265872291508
mp-546864,Y2C(NO)2,128.24637703485985
mp-9582,Yb(ZnP)2,115.96021941796045
mp-7499,Tl2Sn2S5,422.6196504475968
mp-10973,K2Ga3CuSe6,1147.418163541637
mp-6023,Tl2Sn(AsS3)2,256.4884057156254
mp-29265,Nd2(SO4)3,544.1020900719845
mp-568060,Na4Ge2Te5,2131.4800443172944
mp-6964,NaTbO2,171.18502369464275
mp-568244,TlSn2Br5,388.2589249788066
mp-24747,Na3H6Rh,565.922002712034
mp-27425,Sr(HO)2,335.04721233808266
mp-6492,Ba2YSbO6,208.5102647397769
mp-558226,H2O,381.830099131278
mp-531296,Ge(PbS2)2,1302.0356202476858
mp-15559,KSb5S8,1303.157047680861
mp-541996,Pr2SiTeO4,623.9794405267058
mp-975275,RbNa2Sb,97.87570489214755
mp-30096,Be2Te7Cl6,685.945645298722
mp-770280,Li6Bi(BO3)3,1254.6669196515722
mp-22184,Ba2SmNbO6,205.1017722377481
mp-6485,La3SiAgSe7,570.465553374503
mp-555318,K2Zn(SiO3)2,401.5633155377896
mp-570961,CdBiSe2I,244.42903461420565
mp-756888,La2(SiO3)3,484.5446539776677
mp-756238,Sr2CaI6,663.6556353213346
mp-5616,Sr2P2O7,762.7800771326209
mp-16819,ZnTeO3,791.1070228226013
mp-9082,CsSmS2,95.39949950985029
mp-8714,Rb2MnS2,233.96579369521183
mp-16871,K2ZrGe2O7,474.56677177476513
mp-3953,CaCO3,162.2192272155013
mp-29078,Hg4As2Br3,1753.99451612887
mp-8612,Sb2TeSe2,122.2039352714192
mp-720719,Ca2Y2Si4H2CO16,1747.687632624812
mp-13816,Cs2NaErF6,231.4603132512768
mp-561259,Na3NbOF6,926.3145927579044
mp-35388,LiSmSe2,193.3222272975561
mp-23609,Zn3B7ClO13,674.3055504728105
mp-553932,GaPO4,192.859162693605
mp-29806,Cs2PdI6,215.3218284002616
mp-28501,K2(NbCl3)3,649.7504903588182
mp-5476,Cs4Mg3F10,759.9656064540386
mp-16855,K3Ta3Si2O13,778.1775984680631
mp-20495,Na2CO3,194.56934067997747
mp-5504,BaCO3,336.81863088260224
mp-17862,Ag3Ge5P6,633.2648923788831
mp-504962,K2Na3InO4,889.7710352406366
mp-761931,Na8SnO6,653.2068985593413
mp-765640,Sm3Ta17O47,1281.301361755785
mp-23341,Bi2Pt2O7,439.02509133932847
mp-541722,CsBa2Br5,789.0098985768924
mp-560785,K2Y4Sn2S11,1763.2165736575294
mp-569967,K2PrCl5,771.5828502894124
mp-6678,KHgSbS3,566.1538377334242
mp-4531,NaNO3,167.76331257500917
mp-14280,Ga2Sn2S5,828.6323597210771
mp-19893,PbCO3,338.67650712214873
mp-755417,Ba3(BO3)2,384.56477194619816
mp-561157,Sr3Y2(BO3)4,1436.282299042274
mp-626151,YHO2,142.90310204605294
mp-559337,Nd7(S2Cl3)3,1032.8500368147668
mp-8253,Na5ReO6,244.8410650366933
mp-551269,Ba2LaSbO6,211.5261546111517
mp-601861,RbInS2,713.5993694859974
mp-770408,Rb6Ti2O7,644.7924120132628
mp-7193,Lu2Si2O7,191.4484090882596
mp-27666,IrCl3,181.4704065910705
mp-8086,Na2Zn2O3,301.139642586491
mp-644418,CaH2CClO3,248.01319299706836
mp-675701,Ca(HoSe2)2,168.8465322038783
mp-9628,KCdF3,463.0703166918764
mp-769481,Y4Ga2O9,1203.324808882282
mp-771957,Ta2PbO6,716.9973058083225
mp-24426,HgH2SeO5,587.9564732971147
mp-540695,Cs2DyCl5,774.4189545353386
mp-637213,La2GeI2,122.45304359138724
mp-18629,NaTmGeO4,553.918276227219
mp-779511,Ba2MgO3,519.8744656302151
mp-540866,Na6Mg2C4SO16,929.7829707653268
mp-754929,Ga3NO3,520.03695190926
mp-10096,Na3Sr3GaP4,520.4029199650123
mp-560086,Nd4(GeS4)3,857.5775221921732
mp-505743,GaBPbO4,490.6074070679258
mp-6115,K2Zn2(SO4)3,1294.868168957748
mp-41837,RbTiZnOF5,372.8250759846796
mp-758571,Al11TlO17,973.2763781623224
mp-23037,CsPbCl3,115.6787036850071
mp-552008,DyBi2ClO4,172.13174344279415
mp-706910,MgB2H6O7,752.2377654214515
mp-556627,K4GeS4,1696.6171189658485
mp-13000,Ba2HoTaO6,211.7108079308601
mp-559210,Ca5Te3O14,857.2066908817072
mp-559530,Ti5(PO5)4,1903.6891850509776
mp-989527,Cs2NaNF6,204.96901328792853
mp-14243,Cd3TeO6,406.885737892572
mp-761686,Na2BiO3,525.1722237457334
mp-540706,Na2Nb4O11,648.7405376522835
mp-18274,Ba4LiNb3O12,807.057601614829
mp-541687,K3GaSe3,677.9482091867403
mp-3051,Mg2GeO4,521.9694720305578
mp-6509,Sr3GaO4F,386.3761056555896
mp-4350,La2(SeO3)3,1113.4879713018324
mp-15789,LiDyS2,93.03367831835244
mp-14760,LuAl3(PbO4)2,1017.7813812552224
mp-849246,Ti2CdO5,313.94759277752115
mp-6276,K2Cd2(SO4)3,1301.2945664100112
mp-27998,KNb3O8,455.0683576230612
mp-554675,SrTa2Bi2O9,265.4703412138331
mp-557438,Sm2Ti3(BiO6)2,381.2935436863244
mp-27310,Na4Sn3F10,763.168932033884
mp-28580,Y2NCl3,268.22643412806866
mp-540900,B2PdO4,570.9024450767199
mp-669360,CdI2,858.9697051987451
mp-675798,NaHoF4,265.94404663506174
mp-17167,Be3Cd4Si3TeO12,793.042644211306
mp-558240,K3Al4P2O8F9,949.8362709485962
mp-568301,BiBr3,193.4466704450125
mp-10322,BaHfN2,166.2927300259227
mp-8098,InGaO3,197.69119996775663
mp-8623,K2Te2Pt,122.00360532748154
mp-8836,CaAlF5,284.1674127656144
mp-571347,Pr3CuGeSe7,575.8809894530755
mp-8956,Ho2S3,463.7930540516388
mp-9634,Na3AgS2,282.3397330692383
mp-768923,Bi4(B2O5)3,770.1509792495823
mp-546757,Sn3PO4F3,215.9827316104917
mp-755988,Hf3N4,270.0703052808846
mp-27833,Tl2TeCl6,174.21817757195413
mp-769931,Tm3TaO7,428.6680666648304
mp-28167,Th6CoBr15,536.1297408335142
mp-17077,K2YF5,726.267296468599
mp-190,ReO3,68.95950823938801
mp-570127,CdI2,572.9823969132722
mp-541403,Hg7(P2Br3)2,803.8625720102068
mp-762307,Y7HoO12,821.6657937905537
mp-559243,Nd2Ta2Cl2O7,265.96812491159363
mp-8453,RbNaO,140.21520151050103
mp-6708,RbNb2PS10,606.0723458203698
mp-756316,Li3SbS4,351.03953031284755
mp-707762,K2CaH8(N3O)4,795.2364856192332
mp-23087,Mg3B7ClO13,1314.5236691468292
mp-6175,BaLi2P2O7,795.2265577781112
mp-574663,CdI2,286.3706183409689
mp-572512,Cs2LaTa6(Br5O)3,1261.963101446799
mp-17177,Nb2ZnO6,695.6192485656081
mp-28371,K2Zn3O4,390.5391885179108
mp-640058,PbI2,222.7655750662049
mp-770111,PrBiO4,496.690898459752
mp-554821,Tb(IO3)3,991.3016766270682
mp-7595,GeF2,265.82014135811653
mp-8001,LiAlO2,69.93697114697622
mp-10219,YOF,125.82309016510962
mp-27839,K2TiCl6,208.0979558641133
mp-862780,K2InP2S7,529.7725118905978
mp-555825,Na4Sc2Si4O13,1608.3618062422934
mp-771189,Ba4Ti3O10,349.54810977682627
mp-6304,Sr2GaSbO6,205.2380765734496
mp-612740,In2Se3,722.060481071341
mp-30249,Li4GeS4,786.4477875289344
mp-771976,Rb2Be2O3,509.78252202709297
mp-7013,Ho2Be2SiO7,402.0795181284224
mp-559378,Ba5Ta2Cl2O9,768.0162514062143
mp-23032,CsCuCl3,717.1597428966734
mp-570511,CdI2,367.8951066524268
mp-5455,K6Ti2O7,636.7964653225565
mp-23210,MgCl2,69.16835102559021
mp-557181,K3Na3(NO4)2,1216.9503366653944
