mp_id,bulk_modulus_vrh,shear_modulus_vrh
mp-3582,157.751,104.546
mp-19991,47.85,24.856
mp-685935,60.062,35.545
mp-1046056,27.729,8.573
mp-7,1.874,1.075
mp-753848,89.756,41.778
mp-643754,29.989,10.733
mp-2030,172.042,121.491
mp-12403,14.836,7.539
mp-865964,34.099,27.664
mp-1595,135.559,49.941
mp-1021431,11.698,5.876
mp-1274,165.111,50.421
mp-11919,104.82,68.742
mp-5693,60.393,34.579
mp-6088,79.381,40.612
mp-15679,161.139,76.351
mp-4091,278.976,141.689
mp-997009,71.713,25.176
mp-19857,82.846,48.364
mp-976405,33.418,18.579
mp-1099,137.06,52.238
mp-3771,161.087,74.471
mp-7303,57.028,29.141
mp-2949,80.39,40.148
mp-567412,62.369,45.075
mp-865382,221.654,89.252
mp-30717,11.826,4.929
mp-2931,110.301,71.679
mp-30805,51.162,24.888
mp-22240,106.766,78.122
mp-977239,26.408,5.399
mp-31072,72.813,302.329
mp-979057,57.911,22.245
mp-1025421,67.594,23.832
mp-1569,200.504,228.81
mp-20457,73.875,38.448
mp-11504,80.961,48.083
mp-1025324,201.214,71.228
mp-862290,145.894,65.499
mp-975255,95.483,47.559
mp-6654,23.035,9.426
mp-11755,64.762,37.541
mp-562517,76.691,49.081
mp-865025,244.954,109.351
mp-865944,152.686,51.878
mp-3011,145.97,68.15
mp-977553,63.365,20.657
mp-2420227,47.823,44.806
mp-22877,10.488,9.518
mp-1716,233.122,105.314
mp-19747,57.203,17.818
mp-571102,13.509,5.91
mp-864916,187.509,87.375
mp-1029251,104.541,58.104
mp-11169,96.768,48.721
mp-30820,80.792,39.204
mp-864654,161.838,59.551
mp-1021499,75.852,26.749
mp-7364,93.089,36.257
mp-9665,16.559,7.368
mp-4283,117.105,61.786
mp-15779,124.71,74.315
mp-1779,39.676,26.05
mp-2929431,1.7850000000000001,1.164
mp-3161,63.069,55.349
mp-1918,198.729,74.969
mp-7877,86.566,55.773
mp-582034,213.198,187.685
mp-976055,24.671,16.433
mp-1018140,88.25,39.279
mp-1340758,118.951,56.266
mp-567841,91.876,71.729
mp-10759,57.611,44.393
mp-2580,263.884,198.028
mp-1017531,236.927,116.114
mp-975972,41.51,23.46
mp-11807,113.442,51.982
mp-30062,8.763,4.908
mp-862800,2.5460000000000003,1.806
mp-10739,219.7,102.358
mp-82,26.378,11.153
mp-982004,83.172,30.051
mp-23302,11.14,5.547
mp-408,49.429,42.782
mp-4692,114.571,73.379
mp-1064272,5.642,3.789
mp-864657,2.8810000000000002,1.97
mp-989644,16.182,4.943
mp-11201,71.045,45.625
mp-972912,29.595,16.724
mp-20698,48.848,30.049
mp-16343,37.377,33.386
mp-19934,79.546,30.741
mp-865248,179.898,73.733
mp-10623,112.537,42.792
mp-3400,141.054,96.788
mp-9569,66.211,45.563
mp-30867,148.847,55.613
mp-984050,73.332,26.673000000000002
mp-5690,162.616,80.921
mp-978527,54.144,16.825
mp-864904,73.061,16.491
mp-27421,13.584,6.409
mp-20695,96.578,51.211
mp-754808,132.923,78.047
mp-15697,31.995,22.573
mp-22971,7.311,3.768
mp-863713,97.769,34.119
mp-7436,29.374,17.875
mp-10470,221.086,113.62
mp-865897,35.03,19.316
mp-978911,64.962,27.122
mp-2360,48.071,33.926
mp-534,246.599,159.851
mp-29752,195.587,57.888
mp-23684,25.163,12.017
mp-9565,39.782,26.42
mp-2506699,49.604,21.994
mp-972222,277.307,103.594
mp-862423,123.752,53.036
mp-865357,111.133,44.23
mp-3384,173.762,105.755
mp-1025010,146.818,119.851
mp-1013549,35.813,25.706
mp-1386610,107.769,46.162
mp-22255,13.936,8.246
mp-1029660,86.996,41.251
mp-542264,74.92,34.761
mp-87,120.019,133.872
mp-976263,31.347,26.561
mp-10785,36.241,22.803
mp-570354,51.714,11.215
mp-8409,78.584,46.437
mp-978926,145.68,69.014
mp-980203,308.449,110.247
mp-22958,19.057,10.994
mp-862445,268.452,143.473
mp-2667,10.059,6.1370000000000005
mp-1029446,125.73,224.054
mp-738,72.555,23.812
mp-246,102.198,30.021
mp-30834,56.392,13.412
mp-867202,11.444,6.8870000000000005
mp-4988,8.873,5.635
mp-977415,89.835,22.834
mp-3707,121.058,25.3
mp-17332,70.414,68.245
mp-3307,43.4,19.34
mp-10686,40.135,20.058
mp-674,109.965,45.919
mp-571655,116.418,28.245
mp-2536,238.119,98.426
mp-570198,47.429,24.024
mp-979427,60.525,30.364
mp-30406,45.771,8.488
mp-3909,162.789,79.114
mp-972530,79.206,21.569
mp-1215198,232.951,193.022
mp-10314,59.843,37.689
mp-13798,37.066,18.04
mp-8922,107.992,47.314
mp-31330,91.094,44.34
mp-2909,87.429,39.228
mp-978988,68.08,27.068
mp-864804,52.714,4.747
mp-10115,255.394,120.286
mp-20487,40.212,15.802
mp-980199,52.438,26.151
mp-30866,282.841,137.344
mp-10326,26.19,12.192
mp-979989,47.651,18.544
mp-972062,53.312,25.438
mp-1190841,136.052,48.153
mp-10654,50.533,5.86
mp-5022,156.818,77.629
mp-2816,45.139,17.053
mp-4175,64.548,39.275
mp-8969,125.782,69.791
mp-865799,55.734,36.046
mp-30343,77.989,14.93
mp-999474,37.932,24.123
mp-863711,145.122,52.644
mp-866227,82.434,27.763
mp-579496,206.727,98.815
mp-30921,56.904,8.761
mp-29736,81.107,56.76
mp-974061,178.452,117.855
mp-3006,5.4879999999999995,5.003
mp-5921,192.409,53.507
mp-2988,81.563,35.873
mp-13525,111.539,36.26
mp-1025291,82.772,49.134
mp-997618,98.422,83.541
mp-631547,107.248,3.701
mp-1778,207.897,153.975
mp-977554,72.567,28.927
mp-1025123,242.745,91.914
mp-5075,177.226,121.093
mp-974832,6.311,0.48
mp-571247,135.713,98.633
mp-863733,91.146,28.354
mp-865926,123.024,48.221
mp-8682,152.578,98.816
mp-5407,179.963,98.873
mp-989551,41.494,13.628
mp-3497,50.47,19.147
mp-2695851,77.064,16.08
mp-12906,47.647,29.98
mp-2776,65.975,11.065
mp-5486,97.787,55.112
mp-720,6.828,4.15
mp-23002,25.612,14.541
mp-978496,129.631,90.777
mp-862656,76.785,56.514
mp-862716,66.506,24.289
mp-973538,67.89,40.238
mp-6511,15.519,8.426
mp-5532,127.094,75.758
mp-571160,64.88,19.653
mp-864897,162.384,48.901
mp-22440,158.407,84.508
mp-1025455,112.151,2.313
mp-600561,106.321,41.679
mp-4864,40.739,28.662
mp-13852,174.776,82.389
mp-568388,3.863,2.127
mp-36086,104.609,90.318
mp-20395,183.377,76.499
mp-4768,94.667,58.471
mp-495,68.978,43.84
mp-5492,79.915,43.078
mp-10140,76.574,54.498
mp-12962,111.254,59.351
mp-2065,60.377,34.361
mp-979937,39.52,8.177
mp-861736,107.809,33.967
mp-10878,32.632,62.995
mp-1002069,20.106,11.883
mp-558733,263.994,193.946
mp-865376,43.03,26.114
mp-364,194.408,98.81
mp-24202,81.272,42.175
mp-11288,30.44,10.343
mp-1793,105.452,37.599
mp-2676,167.518,119.142
mp-866295,43.506,22.533
mp-863679,185.741,78.278
mp-8033,118.532,34.579
mp-1190751,18.333,0.28800000000000003
mp-541840,117.411,41.047
mp-976419,102.841,29.873
mp-865472,258.765,107.994
mp-549490,139.204,85.723
mp-20994,255.403,113.66
mp-7343,55.615,17.134
mp-28497,17.295,7.552
mp-973571,44.851,28.755
mp-2713,140.411,56.862
mp-1009756,28.076,19.418
mp-1090,78.571,36.343
mp-672294,101.06,77.888
mp-1025205,142.796,72.317
mp-864927,217.65,103.317
mp-12480,149.536,69.61
mp-3166,183.234,94.675
mp-7482,50.69,14.872
mp-977547,140.599,62.854
mp-10897,108.679,59.669
mp-570657,44.169,1.5230000000000001
mp-675172,208.145,120.083
mp-862335,160.442,59.369
mp-22962,13.373,7.225
mp-7435,35.575,21.711
mp-729,246.829,154.873
mp-8539,41.51,23.276
mp-16314,103.205,49.592
mp-973556,51.667,34.157
mp-865308,171.518,52.236
mp-568809,28.583,18.694
mp-2025704,9.903,6.9190000000000005
mp-11576,32.524,25.063
mp-1025504,100.012,56.193
mp-972954,42.98,4.888
mp-862684,145.945,59.172
mp-977189,19.11,9.212
mp-30595,177.039,63.304
mp-972941,32.912,11.214
mp-774873,22.146,10.683
mp-567397,335.85,169.09
mp-866067,50.858,21.146
mp-978291,48.729,32.735
mp-867259,76.882,24.906
mp-973750,60.626,19.562
mp-561442,169.817,95.728
mp-754326,58.425,26.511
mp-1008688,73.05,17.188
mp-5068,79.781,39.479
mp-10953,69.767,24.821
mp-1104008,60.633,45.953
mp-34169,28.627,17.702
mp-2614,106.503,83.451
mp-20541,206.579,103.941
mp-3881,57.665,23.691
mp-999133,201.83,71.407
mp-9898,51.12,33.441
mp-557559,0.876,0.398
mp-28929,10.461,5.307
mp-10622,70.29,44.49
mp-556004,38.546,25.265
mp-2131,39.156,20.283
mp-21347,299.575,177.92
mp-765294,25.933,16.32
mp-3378,155.349,92.483
mp-4876,14.239,6.494
mp-862797,36.494,17.941
mp-865797,127.341,69.17
mp-977421,132.553,44.279
mp-5589,77.447,47.371
mp-999495,29.531,6.252
mp-570197,52.094,15.119
mp-20136,24.299,13.484
mp-3556,127.607,70.856
mp-4300,88.802,30.327
mp-4275,127.742,55.498
mp-867897,204.892,102.073
mp-5251,66.517,33.929
mp-28174,2.346,2.36
mp-675104,20.048,8.16
mp-11547,81.983,25.047
mp-30494,61.151,29.259
mp-13061,140.624,43.654
mp-20674,107.52,55.659
mp-568286,118.035,88.909
mp-580357,149.816,48.551
mp-1368,105.749,32.407
mp-556084,15.73,8.247
mp-20261,32.669,19.199
mp-972692,44.231,14.712
mp-972209,250.356,104.672
mp-865145,27.25,8.941
mp-425,153.466,127.484
mp-505822,189.963,75.142
mp-1820,62.187,44.285
mp-867266,33.477,10.983
mp-718,145.871,54.511
mp-6624,127.515,80.136
mp-625054,106.355,79.123
mp-4697,72.426,33.234
mp-861182,24.697,14.592
mp-22396,187.702,102.86
mp-1009485,313.927,140.253
mp-973777,43.402,0.147
mp-973067,128.767,23.656
mp-865932,46.894,33.556
mp-21167,191.012,38.833
mp-1215209,268.949,221.721
mp-971738,155.672,56.716
mp-962077,68.261,5.193
mp-864668,82.554,18.058
mp-1056,141.499,61.887
mp-1025045,140.178,44.998
mp-104,32.445,20.273
mp-1878,125.555,129.905
mp-2917,119.315,75.813
mp-11506,214.444,91.253
mp-978534,73.122,55.607
mp-864933,88.2,20.608
mp-636273,38.83,10.717
mp-10149,48.001,13.854
mp-5200,169.867,73.418
mp-979294,110.647,45.527
mp-10861,7.842,1.6800000000000002
mp-7283,170.08,155.057
mp-1058151,29.74,10.827
mp-4805,112.425,60.067
mp-2960,148.752,64.218
mp-12953,47.341,18.114
mp-4962,113.942,77.053
mp-12736,202.448,51.366
mp-861629,102.805,43.455
mp-1019280,32.355,24.914
mp-569833,107.034,55.298
mp-1371,64.308,23.339
mp-573755,9.36,3.5869999999999997
mp-1235,227.385,82.089
mp-550008,148.262,71.889
mp-1017543,170.19,76.147
mp-1594,173.653,44.062
mp-27438,27.664,15.95
mp-2025,130.956,120.416
mp-978085,52.072,15.917
mp-862795,44.205,19.952
mp-1330,252.764,216.097
mp-11549,192.283,78.469
mp-971669,100.502,47.232
mp-782,53.053,17.97
mp-865995,70.05,15.34
mp-1219553,11.822,7.082
mp-29151,38.043,26.953
mp-8096,13.999,6.777
mp-2466,103.81,43.716
mp-866132,24.55,18.578
mp-1008872,111.271,57.648
mp-510403,98.6,31.19
mp-975206,117.294,105.897
mp-554134,3.8609999999999998,1.184
mp-2090,189.836,91.403
mp-1164,97.603,71.668
mp-672340,95.132,41.998
mp-542170,141.033,66.176
mp-19940,138.579,86.366
mp-569008,4.94,1.982
mp-4071,194.285,139.105
mp-12557,57.771,39.629
mp-1025339,124.98,81.239
mp-30578,107.72,23.276
mp-5259,45.534,28.532
mp-437,81.405,25.035
mp-7973,68.969,36.925
mp-973266,53.348,33.866
mp-979419,40.892,25.48
mp-11293,113.193,50.865
mp-22144,175.354,107.734
mp-3470,97.725,67.421
mp-961697,95.062,38.126
mp-10611,60.77,39.774
mp-2507,18.273,12.041
mp-5392,111.352,65.679
mp-28938,12.425,8.64
mp-541989,39.851,19.095
mp-510374,78.507,46.696
mp-15226,295.098,142.003
mp-20337,118.685,34.182
mp-3018,118.634,73.221
mp-1025212,189.205,59.621
mp-13181,125.291,12.21
mp-973432,130.571,46.272
mp-1018649,376.878,331.922
mp-569775,102.592,59.186
mp-505517,183.851,108.317
mp-643084,94.858,60.907
mp-7387,23.276,10.958
mp-985439,57.169,33.396
mp-1217818,293.658,224.962
mp-1223860,326.804,201.523
mp-23087,133.058,94.309
mp-11466,18.769,8.158
mp-1009823,191.338,52.725
mp-11516,228.567,155.083
mp-556242,100.271,49.604
mp-567723,120.915,51.797
mp-30455,90.608,40.665
mp-309,83.938,36.124
mp-23084,43.224,17.959
mp-977542,42.072,17.115
mp-571147,187.543,76.808
mp-21382,75.399,46.845
mp-30779,39.515,26.455
mp-13944,102.784,99.981
mp-2226,91.251,34.497
mp-22687,33.333,16.521
mp-477,71.852,53.193
mp-1025322,76.389,53.225
mp-11957,75.338,38.941
mp-10197,197.527,29.097
mp-568186,167.183,48.099
mp-570093,65.917,38.077
mp-30500,81.552,26.541
mp-866155,209.627,91.984
mp-4022,167.087,95.112
mp-971909,149.877,0.619
mp-982370,7.773,3.678
mp-9577,49.839,35.571
mp-867874,241.663,90.582
mp-6954,48.889,29.294
mp-982070,270.236,116.36
mp-973175,55.254,20.144
mp-22739,56.257,27.532
mp-22717,59.191,25.46
mp-3581,62.712,47.917
mp-974949,12.992,4.304
mp-1016902,151.079,53.821
mp-1077723,88.774,28.123
mp-428,38.445,27.868
mp-865499,275.44,129.105
mp-8932,15.288,8.595
mp-4322,144.516,89.475
mp-30483,32.099,14.606
mp-3405,152.126,69.533
mp-1077353,156.801,90.2
mp-1019266,56.908,24.397
mp-614603,8.224,4.02
mp-23037,21.823,9.296
mp-20554,42.952,14.658
mp-16828,64.468,39.327
mp-24390,72.678,39.173
mp-16488,107.487,72.22
mp-11465,42.841,19.557
mp-169,115.697,80.084
mp-864756,30.524,17.477
mp-1427,156.458,73.089
mp-2468835,129.576,91.595
mp-2349989,117.29,40.927
mp-5540,147.126,118.908
mp-12923,98.247,31.257
mp-21894,69.115,46.562
mp-864758,13.554,5.917
mp-567703,203.967,86.951
mp-971837,38.904,17.206
mp-1008530,204.053,82.704
mp-567747,317.793,121.476
mp-2819,37.644,2.024
mp-213,55.058,18.707
mp-771,122.529,80.027
mp-1018629,153.404,20.546
mp-977286,21.078,0.8260000000000001
mp-438,74.377,36.021
mp-866087,179.203,75.943
mp-3501,98.162,58.284
mp-2214,44.234,24.287
mp-12648,126.701,144.287
mp-2264,80.602,54.614
mp-29153,157.834,82.497
mp-8102,344.254,70.766
mp-13240,114.133,60.675
mp-7430,39.354,20.206
mp-2800,129.573,100.19
mp-2758,41.256,27.097
mp-754940,39.278,26.756
mp-996973,46.181,14.739
mp-571443,35.493,22.431
mp-20268,150.678,68.935
mp-23282,3.862,2.612
mp-3498,128.242,22.94
mp-2056,105.255,47.072
mp-978500,264.313,95.512
mp-739,139.085,90.022
mp-23029,6.9879999999999995,0.965
mp-7469,47.66,22.586
mp-1223677,354.211,214.796
mp-862805,80.55,17.514
mp-4458,149.607,76.62
mp-4051,17.002,30.589
mp-10523,148.899,56.926
mp-129,262.529,117.048
mp-21422,141.273,58.224
mp-555483,119.344,43.519
mp-862725,219.455,89.291
mp-24152,86.522,55.883
mp-31442,70.882,25.237
mp-6951,55.222,22.838
mp-984729,79.071,49.114
mp-1196116,226.401,195.537
mp-9124,53.606,40.964
mp-13270,48.592,15.092
mp-862602,146.391,94.037
mp-5869,112.399,61.191
mp-981252,37.533,17.204
mp-6504,73.809,30.686
mp-5577,129.851,65.086
mp-981393,82.566,32.929
mp-2280,74.484,24.776
mp-862713,227.447,99.655
mp-567590,218.705,75.807
mp-567220,122.772,69.177
mp-999545,125.464,115.101
mp-865810,257.893,119.069
mp-8439,39.186,22.791
mp-12107,238.047,106.959
mp-23197,16.52,6.535
mp-864633,57.531,19.66
mp-30835,205.117,73.846
mp-10890,63.994,40.501
mp-999069,412.064,12.007
mp-30613,60.804,37.354
mp-567089,81.33,33.51
mp-712,70.25,31.833
mp-2489,178.518,29.992
mp-1021848,27.035,15.503
mp-755895,119.003,67.526
mp-865324,3.289,2.7
mp-561664,11.814,7.157
mp-1014264,265.131,21.11
mp-1078526,141.771,9.952
mp-978509,153.635,36.773
mp-2781,110.671,32.904
mp-1018849,353.873,130.572
mp-13051,30.437,17.973
mp-568284,13.289,6.9190000000000005
mp-11736,222.449,101.928
mp-978549,59.305,29.737
mp-640708,128.509,67.937
mp-1281,273.207,126.573
mp-23499,11.298,5.661
mp-862791,185.797,298.985
mp-1018054,231.325,112.224
mp-984352,203.003,111.008
mp-989564,243.043,92.446
mp-23153,4.837,3.174
mp-755144,55.978,39.05
mp-2369,97.577,39.635
mp-2851,99.681,47.367
mp-1023161,41.748,26.463
mp-864922,94.828,25.037
mp-9304,82.277,38.336
mp-795,52.319,36.261
mp-864857,192.655,69.361
mp-29873,19.054,7.96
mp-16886,93.631,26.46
mp-861460,42.162,17.936
mp-21469,178.311,71.09
mp-2634,312.566,209.5
mp-1189355,91.797,31.336
mp-22972,36.09,8.571
mp-8188,95.827,57.465
mp-644389,42.316,29.177
mp-8874,94.759,73.016
mp-1019279,37.518,27.358
mp-8207,193.672,63.614
mp-8020,183.62,66.054
mp-571193,137.018,116.03
mp-570290,34.353,15.324
mp-972257,34.964,19.382
mp-554973,70.161,25.725
mp-7424,173.199,46.36
mp-20125,101.405,15.334
mp-7857,207.405,190.624
mp-979234,35.996,20.299
mp-1019262,240.219,77.09
mp-27455,5.717,3.334
mp-2052,85.701,51.516
mp-5038,12.848,6.173
mp-22924,29.484,12.854
mp-867213,117.96,47.096
mp-315,67.722,24.288
mp-546679,174.661,105.689
mp-981207,54.772,37.631
mp-569054,70.274,14.097
mp-862769,19.114,12.139
mp-1001788,178.43,52.095
mp-1821,23.208,17.056
mp-568631,92.061,53.078
mp-1025223,116.342,87.932
mp-7882,47.006,4.63
mp-1013710,3.9699999999999998,6.834
mp-580364,104.747,14.966
mp-21879,137.231,62.307
mp-3376,108.931,63.505
mp-3194,86.815,65.462
mp-10435,77.086,41.59
mp-1018104,78.996,32.238
mp-1019272,288.589,150.555
mp-3301,133.933,53.071
mp-976838,173.553,46.299
mp-31459,165.084,66.374
mp-865195,147.294,55.923
mp-1565,235.389,103.516
mp-556075,113.78,63.877
mp-6081,81.257,35.951
mp-778364,46.367,25.335
mp-15781,37.153,20.828
mp-997034,76.627,34.529
mp-6633,18.759,8.919
mp-27679,12.532,4.615
mp-978507,52.79,34.028
mp-972044,44.763,31.315
mp-2105,143.703,95.21
mp-5688,132.768,79.147
mp-747,103.144,39.324
mp-866161,251.039,128.846
mp-1497,289.035,146.051
mp-977399,84.673,40.498
mp-13082,220.339,98.352
mp-9387,86.002,53.608
mp-754434,212.613,66.114
mp-569170,36.971,23.429
mp-22152,48.294,33.541
mp-864684,189.709,80.044
mp-865110,24.965,13.0
mp-555434,91.699,51.804
mp-580886,22.311,12.264
mp-12120,293.289,175.639
mp-23764,63.515,35.137
mp-1224263,247.465,250.862
mp-21433,81.218,52.977
mp-996990,82.961,44.442
mp-29661,180.761,70.297
mp-30423,125.266,26.935
mp-11523,163.22,17.165
mp-31160,46.54,37.248
mp-1013548,57.655,49.131
mp-1017533,146.084,87.281
mp-3078,58.932,31.08
mp-774922,6.146,13.893
mp-978833,55.99,22.726
mp-973316,11.571,5.99
mp-10659,42.255,27.815
mp-570632,57.536,28.736
mp-1129,166.725,79.378
mp-5292,115.307,57.367
mp-29136,63.615,27.585
mp-500,23.348,15.826
mp-1014257,145.73,94.61
mp-675798,71.34,32.839
mp-23229,9.771,6.402
mp-10651,55.819,38.258
mp-3534,22.025,15.452
mp-4652,151.048,28.127
mp-1025161,154.477,53.791
mp-9330,11.099,6.8469999999999995
mp-12927,98.183,62.055
mp-9574,34.453,23.924
mp-865563,111.102,18.066
mp-558518,30.804,22.279
mp-27882,8.703,4.521
mp-12806,49.734,21.715
mp-30650,45.747,25.13
mp-752463,177.394,57.723
mp-30819,124.378,59.706
mp-569331,61.911,17.812
mp-973684,41.172,18.141
mp-12385,135.914,80.852
mp-981234,35.777,16.544
mp-961656,134.14,53.837
mp-1546,41.005,24.698
mp-29656,47.47,15.999
mp-3584,114.656,55.684
mp-5072,23.964,11.792
mp-1638,47.886,32.398
mp-22864,82.069,26.028
mp-982870,214.618,81.996
mp-1205309,43.817,32.433
mp-571035,5.865,3.473
mp-993,87.052,23.018
mp-30882,105.49,65.278
mp-11806,86.934,37.269
mp-24092,68.537,47.226
mp-867869,83.326,27.293
mp-1007824,50.017,22.424
mp-14791,25.98,21.48
mp-1190963,155.341,79.573
mp-861735,39.982,10.424
mp-2114,159.077,120.831
mp-16755,21.873,14.885
mp-603,125.633,84.594
mp-24659,108.814,61.069
mp-554573,24.084,37.443
mp-1019740,302.943,232.977
mp-2330,68.479,42.182
mp-977418,68.967,18.185
mp-862702,79.681,32.127
mp-867290,60.402,39.055
mp-11382,102.413,56.671
